a52dec 0.7.4-9
libraw1394 2.1.2-1
libreoffice-fresh 6.0.5-1
librevenge 0.0.4-2
librsvg 2:2.42.5-1
libsamplerate 0.1.9-1
libsasl 2.1.26-12
libseccomp 2.3.3-1
libsecret 0.18.6-1
libsigc++ 2.10.0-1
libsm 1.2.2-3
libsndfile 1.0.28-1
libsodium 1.0.16-1
libsoup 2.62.2-1
libsoxr 0.1.3-1
libspectre 0.2.8-1
libssh 0.7.5-2
libssh2 1.8.0-2
libstaroffice 0.0.6-1
libstemmer 0+337-2
libsystemd 238.133-4
libtar 1.2.20-4
libtasn1 4.13-1
libteam 1.27-1
libthai 0.1.27-1
libtheora 1.1.1-4
libtiff 4.0.9-1
libtiger 0.3.4-5
libtirpc 1.0.3-2
libtommath 1.0.1-1
libtool 2.4.6+40+g6ca5e224-7
libtorrent-rasterbar 1:1.1.7-2
libunistring 0.9.10-1
libunwind 1.2.1-1
libupnp 1.6.25-1
libusb 1.0.22-1
libusbmuxd 1.0.10+13+gc724e70-1
libutempter 1.1.6-3
libutil-linux 2.32-3
libuv 1.21.0-1
libva 2.1.0-1
libvdpau 1.1.1+3+ga21bf7a-1
libvisio 0.1.6-3
libvisual 0.4.0-7
libvoikko 4.1.1-1
libvorbis 1.3.6-1
libvpx 1.7.0-1
libwacom 0.30-1
libwbclient 4.8.3-1
libwebp 1.0.0-1
libwpd 0.10.2-1
libwpg 0.3.2-1
libwps 0.4.9-1
libx11 1.6.5-1
libx264 2:152.20171224-2
libxau 1.0.8-3
libxaw 1.0.13-2
libxcb 1.13-1
libxcomposite 0.4.4-3
libxcursor 1.1.15-1
libxdamage 1.1.4-3
libxdmcp 1.1.2-2
libxext 1.3.3-2
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.2-2
libxi 1.7.9-1
libxinerama 1.1.3-3
libxkbcommon 0.8.0-1
libxkbcommon-x11 0.8.0-1
libxkbfile 1.0.9-2
libxml2 2.9.8-2
libxmu 1.1.2-2
libxpm 3.5.12-1
libxrandr 1.5.1-2
libxrender 0.9.10-1
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.2-3
libxt 1.1.5-2
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-2
libxxf86vm 1.1.4-2
libyaml 0.1.7-1
libzip 1.5.1-1
libzmf 0.0.2-3
licenses 20171006-1
linux 4.17.3-1
linux-api-headers 4.16.1-1
linux-firmware 20180606.d114732-1
linux-headers 4.17.3-1
llvm-libs 6.0.0-4
lm_sensors 3.4.0-4
lmdb 0.9.22-1
logrotate 3.14.0-1
lpsolve 5.5.2.5-2
lua 5.3.4-2
lvm2 2.02.177-5
lz4 1:1.8.2-2
lzo 2.10-1
m4 1.4.18-1
mailcap 2.1.48+14+g5811758-1
mailspring 1.2.2-1
make 4.2.1-2
man-db 2.8.3-1
man-pages 4.16-1
maven 3.5.2-1
mdadm 4.0-1
media-player-info 23-1
mesa 18.1.3-1
milou 5.13.2-1
minizip 1:1.2.11-2
mkinitcpio 24-2
mkinitcpio-busybox 1.28.4-1
mobile-broadband-provider-info 20170310-1
modemmanager 1.8.0-1
modemmanager-qt 5.47.0-1
mozilla-common 1.4-5
mpfr 4.0.1-1
mtdev 1.1.5-2
nano 2.9.8-1
ncurses 6.1-3
ndctl 60.3-2
neofetch 5.0.0-1
neon 0.30.2-3
nerd-fonts-complete 2.0.0-5
netctl 1.16-1
nettle 3.4-1
networkmanager 1.10.10-1
networkmanager-qt 5.47.0-1
node-gyp 3.7.0-1
nodejs 10.5.0-1
noto-fonts 20180322-1
npm 6.1.0-1
npth 1.5-1
nspr 4.19-1
nss 3.38-1
ntfs-3g 2017.3.23-1
oh-my-zsh-git r4376.c3b072ea-1
okular 18.04.2-1
openal 1.18.2-2
opencore-amr 0.1.5-1
openexr 2.2.1-1
openjdk8-doc 8.u172-2
openjdk8-src 8.u172-2
openjpeg2 2.3.0-2
openresolv 3.9.0-1
openssh 7.7p1-2
openssl 1.1.0.h-1
openssl-1.0 1.0.2.o-1
opus 1.2.1-1
orc 0.4.28-1
os-prober 1.76-1
otf-overpass 3.0.3-1
p11-kit 0.23.12-1
pacaur 4.7.90-1
pacman 5.1.0-2
pacman-mirrorlist 20180524-1
pam 1.3.1-1
pambase 20171006-1
pango 1.42.1-1
pangomm 2.40.1-2
papirus-icon-theme 20180601-1
parted 3.2-6
patch 2.7.6-1
pavucontrol 1:3.0+23+g335c26c-1
pciutils 3.5.6-1
pcre 8.42-1
pcre2 10.31-1
perl 5.26.2-1
perl-error 0.17026-1
perl-mailtools 2.20-1
perl-timedate 2.30-4
phonon-qt5 4.10.1-1
phonon-qt5-gstreamer 4.9.0-4
php 7.2.7-1
php-cs-fixer 2.12.0-1
php-sqlite 7.2.7-1
pinentry 1.1.0-4
pixman 0.34.0-1
pkgconf 1.5.1-1
plasma-desktop 5.13.2-1
plasma-framework 5.47.0-2
plasma-integration 5.13.2-1
plasma-nm 5.13.2-1
plasma-pa 5.13.2-1
plasma-workspace 5.13.2-1
plasma5-applets-eventcalendar 58-1
polkit 0.114-1
polkit-kde-agent 5.13.2-1
polkit-qt5 0.112.0+git20180107-1
poppler 0.64.0-1
poppler-qt5 0.64.0-1
popt 1.16-9
postman 6.1.4-1
powerdevil 5.13.2-1
powerline 2.6-1
powerline-common 2.6-1
powerline-fonts 2.6-1
powertop 2.9-1
ppp 2.4.7-4
prison 5.47.0-1
procps-ng 3.3.15-1
psmisc 23.1-1
pulseaudio 12.0-1
pulseaudio-alsa 2-4
pulseaudio-bluetooth 12.0-1
purpose 5.47.0-1
pygobject-devel 3.28.3-1
python 3.6.5-3
python-appdirs 1.4.3-1
python-dbus 1.2.8-1
python-dbus-common 1.2.8-1
python-gobject 3.28.3-1
python-packaging 17.1-1
python-powerline 2.6-1
python-pyparsing 2.2.0-1
python-setuptools 1:39.2.0-2
python-six 1.11.0-1
python2 2.7.15-1
qbittorrent 4.1.1-2
qca-qt5 2.1.3-10
qqc2-desktop-style 5.47.0-1
qrencode 4.0.2-1
qt5-base 5.11.1-1
qt5-declarative 5.11.1-1
qt5-graphicaleffects 5.11.1-1
qt5-location 5.11.1-1
qt5-multimedia 5.11.1-1
qt5-quickcontrols 5.11.1-1
qt5-quickcontrols2 5.11.1-1
qt5-script 5.11.1-1
qt5-sensors 5.11.1-1
qt5-speech 5.11.1-1
qt5-svg 5.11.1-1
qt5-tools 5.11.1-1
qt5-webchannel 5.11.1-1
qt5-webkit 5.212.0alpha2-18
qt5-x11extras 5.11.1-1
qt5-xmlpatterns 5.11.1-1
ranger 1.9.1-1
raptor 2.0.15-8
rasqal 1:0.9.33-2
re2 20180401-1
readline 7.0.005-1
redland 1:1.0.17-4
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rhash 1.3.6-1
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
ruby 2.5.1-1
rubygems 2.7.7-1
run-parts 4.8.6-1
s-nail 14.9.10-1
sbc 1.3-2
